id,examCode,questionNumber,points,type,mode,category,difficulty,needsVisualContext,prompt,answer,correctOptions
p232-1-14,P232,14,2,sql_open,sql_vaja,podatkovne_baze_sql,srednje,False,"Pri kreiranju tabele s stavkom SQL bi želeli, da so vsi dijaki privzeto iz občine Maribor. Kaj / moramo dodati/spremeniti v spodnjem stavku SQL, da to dosežemo? / CREATE TABLE Dijak / (ID integer smallint(5), / Ime varchar(30), / Priimek varchar(30), / Posta varchar _____ );",DEFAULT 'Maribor',
p232-1-15,P232,15,1,multiple_choice_single,kviz,html_css,osnovno,False,"Obkrožite črko pred odgovorom, ki prek kode v jeziku CSS pri vseh glavnih naslovih (<h1>) določi / rdečo barvo ozadja.",C,C
p232-1-16,P232,16,2,html_css_open,html_css_vaja,html_css,srednje,True,"V dokument HTML želimo vstaviti sliko slika.png, ki je v mapi, v kateri je dokument HTML. Sliki / želimo nastaviti širino 200 px in besedilo »Tukaj je slika«, ki se bo pokazalo, ko bo miškin kazalec / na sliki. Dopolnite spodnjo kodo. / <_____ src='slika.png' width='200px' _____>",img /  title='Tukaj je slika',
p232-1-17,P232,17,1,multiple_choice_single,kviz,programiranje_algoritmi,osnovno,False,Kolikokrat se v splošnem izvede zanka do while? Obkrožite črko pred pravilnim odgovorom.,D,D
p232-1-18,P232,18,2,calculation,racunska_naloga,programiranje_algoritmi,srednje,True,"Spodnjo kodo pretvorite v enakovreden zapis algoritma z diagramom poteka. Podprogram izpis(...) / izpiše na standardni izhod vrednost vhodne spremenljivke. / Obkrožite izbrani programski/skriptni jezik: C, C++, C#, Java, Python, PHP / C, C#, C++, Java / PHP / Python / for(int i=5;i<20;i+=2) / { / izpis(i); / } / for($i=5;$i<20;$i+=2) / { / izpis($i); / } / for i in range(5,20,2): / izpis(i)",,
p233-1-01,P233,1,1,short_answer,kratki_odgovor,pretvorbe_enote_racunanje,osnovno,False,Na ključek USB kapacitete 16 GB želimo shraniti datoteko veliko 15 GiB. Datotečni sistem ključka / je NTFS. Ali lahko pričakujemo kakšne težave pri shranjevanju datoteke? Odgovor zapišite na / črto.,Da.,
p233-1-02,P233,2,1,short_answer,kratki_odgovor,strojna_oprema_os,osnovno,False,"Na matični plošči je integrirana grafična kartica s priključkom VGA. Na priključek želimo priključiti / zaslon LCD, ki ima na voljo zgolj priključek DVI. Pojasnite, kaj lahko svetujete stranki. Odgovor / zapišite na črto.",Vgradimo lahko dodatno grafično kartico s / priključkom DVI. / Uporabimo lahko tudi ustrezen / zaslon s priključkom VGA ali / kabel VGA-DVI ali drugo / ustrezno rešitev.,
p233-1-03,P233,3,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,"Ob izbiri zaslona LCD je za stranko pomembno, da bi bila vrednost svetilnosti čim višja. Na / katero izmed naštetih enot morate biti glede na zapisano še posebno pozorni? Obkrožite črko / pred pravilnim odgovorom.",A,A
p233-1-04,P233,4,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,Podano imamo vrednost / ] / 16 / [ / 0 1A0 / × / . Od podane vrednosti odštejete vrednost / ] / 2 / [ / 11010001 / . / Katero vrednost dobimo? Obkrožite črko pred pravilnim odgovorom.,B,B
p233-1-05,P233,5,1,multiple_choice_single,kviz,programiranje_algoritmi,osnovno,False,"Skrbnik računalnika želi na novo namestiti operacijski sistem Linux. Namestitev je na ključku / USB, ki je ustrezno pripravljen. Kaj oziroma kje mora spremeniti skrbnik, da bo lahko na novo / namestil operacijski sistem prek ključka USB, če se trenutno ob zagonu računalnika samodejno / zažene trenutni operacijski sistem Windows? Obkrožite črko pred pravilnim odgovorom.",D,D
p233-1-06,P233,6,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"V računalnik želimo vgraditi dodatno grafično kartico, saj je trenutno na voljo le integrirana / grafična kartica. Katero vodilo nam bo omogočilo priklop grafične kartice v novejšem računalniku? / Obkrožite črko pred pravilnim odgovorom.",C,C
p233-1-07,P233,7,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Katero izmed naštetih naprav bi lahko priključili na vodilo tipa M.2? Obkrožite črko pred pravilnim / odgovorom.,A,A
p233-1-08,P233,8,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Kaj pomeni pojem particija na trdem disku? Obkrožite črko pred pravilnim odgovorom.,B,B
p233-1-09,P233,9,1,multiple_choice_single,kviz,omrezja,osnovno,False,Kateri protokol vsebuje ukaza ping in traceroute (tracert)? Obkrožite črko pred pravilnim / odgovorom.,C,C
p233-1-10,P233,10,1,multiple_choice_single,kviz,omrezja,osnovno,False,S katero vrsto vezave vodnika UTP povežemo dva usmerjevalnika? Obkrožite črko pred pravilnim / odgovorom.,D,D
p233-1-11,P233,11,2,multiple_choice_multi,kviz,omrezja,srednje,False,Katere informacije lahko preberemo iz izpisa ukaza ipconfig na računalniku? Obkrožite črki / pred pravilnima odgovoroma.,A /  C,"A,C"
p233-1-12,P233,12,1,sql_open,sql_vaja,podatkovne_baze_sql,srednje,False,"Prikazati želimo vse podatkovne baze, ki smo jih do sedaj ustvarili. Kateri ukaz SQL omogoča / prikaz/izpis podatkovnih baz?",SHOW DATABASES;,
p233-1-13,P233,13,1,multiple_choice_single,kviz,podatkovne_baze_sql,osnovno,False,Stavke SQL delimo na več skupin. V katero skupino uvrščamo stavek INSERT? Obkrožite črko / pred pravilnim odgovorom.,A,A
p233-1-14,P233,14,2,sql_open,sql_vaja,podatkovne_baze_sql,srednje,True,"Pri ustvarjanju tabele Dijak želimo določiti atribut, ki je primarni ključ v drugi tabeli Kraji. Dopolnite / spodnji stavek SQL in dopolnitvi zapišite na črti. / CREATE TABLE Dijak / (ID integer smallint(5), / Ime varchar (30), / Priimek varchar (30), / Postna_stevilka integer, / _____(Postna_stevilka) / REFERENCES Kraji (_____));",FOREIGN KEY /  Postna_stevilka,
p233-1-15,P233,15,1,multiple_choice_single,kviz,html_css,osnovno,False,"Obkrožite črko pred odgovorom, ki v jeziku HTML označuje začetek vrstice, ki je del tabele.",C,C
p233-1-16,P233,16,2,html_css_open,html_css_vaja,html_css,srednje,True,"V dokument HTML želimo vstaviti povezavo na spletni naslov https://www.ric.si/. Prav tako bi / radi, da bi se povezava odprla v novem zavihku. Dopolnite spodnjo kodo. / <a _____=""https://www.ric.si/"" _____>povezava</a>","href /  target=""_blank""",
p233-1-17,P233,17,1,multiple_choice_single,kviz,programiranje_algoritmi,osnovno,False,Kaj predstavlja rezultat izraza 15 % 7 oziroma 15 mod 7 v nekem programskem jeziku? / Obkrožite črko pred pravilnim odgovorom.,D,D
p233-1-18,P233,18,2,calculation,racunska_naloga,programiranje_algoritmi,srednje,True,"Spodnjo kodo pretvorite v enakovredno zanko for. Podprogram izpis (...) izpiše na standardni / izhod vrednost vhodne spremenljivke. / Obkrožite izbrani programski/skriptni jezik: C, C++, C#, Java, Python, PHP / C, C#, C++, Java / PHP / Python / int i=16; / while(i > 1) / { / izpis(i); / i=i-2; / } / $i=16; / while($i > 1) / { / izpis($i); / $i=$i-2; / } / i=16 / while(i > 1): / izpis(i) / i=i-2",for(int i=16;i>1;i-=2) / { / izpis(i); / },
p241-1-01,P241,1,1,short_answer,kratki_odgovor,strojna_oprema_os,osnovno,False,Izvedli smo test delovanja delovnega pomnilnika. Kateri tip delovnega pomnilnika smo testirali? / Odgovor zapišite na črto.,DDR2,
p241-1-02,P241,2,1,short_answer,kratki_odgovor,strojna_oprema_os,osnovno,False,Katera komponenta računalnika za delovanje uporablja VRAM? Odgovor zapišite na črto.,grafična kartica,
p241-1-03,P241,3,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,"Jožek nam dostavi novi ključek USB kapacitete 64 GB. Nanj želi kopirati arhivske dokumente / v skupni datoteki ZIP velikosti 5 GiB. Pri tem naleti na napako, saj naj bi bilo na voljo premalo / prostora za izvedeno operacijo. Pred poskusom kopiranja je bilo izvedeno formatiranje ključka. / Kaj je razlog, da se kopiranje ne izvede? Obkrožite črko pred pravilnim odgovorom.",D,D
p241-1-04,P241,4,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Izvedli smo postopek defragmentacije (angl. defragmentation) trdega diska. Kaj predstavlja / zapisani postopek? Obkrožite črko pred pravilnim odgovorom.,B,B
p241-1-05,P241,5,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,True,Katero vrsto signala lahko prenaša prikazani vmesnik? Obkrožite črko pred pravilnim odgovorom.,C,C
p241-1-06,P241,6,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,V BIOS/UEFI smo izvedli konfiguracijo štirih diskov v diskovnem polju RAID6. Katera izmed / podanih trditev ni resnična? Obkrožite črko pred pravilnim odgovorom.,A,A
p241-1-07,P241,7,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,"Stereo zvok z zunanje mešalne mize želimo povezati na vhod računalnika, kjer bomo izvajali / snemanje zvoka. Kateri vhod zvočne kartice moramo uporabiti? Obkrožite črko pred pravilnim / odgovorom.",B,B
p241-1-08,P241,8,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,S katero izmed naštetih naprav izvaja procesor neposredno komunikacijo? / Obkrožite črko pred pravilnim odgovorom.,C,C
p241-1-09,P241,9,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,Imamo naslovno območje 189.23.1.. Koliko bitov naslova je namenjeno za gostitelje? / Obkrožite črko pred pravilnim odgovorom.,B,B
p241-1-10,P241,10,1,multiple_choice_single,kviz,omrezja,osnovno,False,Katera naprava omogoča povezovanje v brezžično omrežje? Obkrožite črko pred pravilnim / odgovorom.,C,C
p241-1-11,P241,11,2,multiple_choice_multi,kviz,omrezja,srednje,False,Kaj se nahaja v tabeli MAC na mrežnem stikalu? Obkrožite črki pred pravilnima odgovoroma.,B in D,"B,D"
p241-1-12,P241,12,1,multiple_choice_single,kviz,podatkovne_baze_sql,osnovno,False,Kateri stavki SQL sodijo v skupino ukazov SQL DML? Obkrožite črko pred pravilnim odgovorom.,C,C
p241-1-13,P241,13,1,sql_open,sql_vaja,podatkovne_baze_sql,srednje,False,V katero skupino ukazov spada stavek DROP? Odgovor zapišite na spodnjo črto.,SQL DDL,
p241-1-14,P241,14,2,sql_open,sql_vaja,podatkovne_baze_sql,srednje,True,"Popravite spodnji stavek SELECT tako, da bo izpisal vse stolpce iz tabele avtomobili. Izpišite / samo vrstice, ki nimajo podatka o izpustu CO2. Na spodnje črte na novo zapišite celoten / popravljeni stavek. / SELECT naziv_avta / FROM avtomobili / WHERE izpust = NULL;","SELECT * / FROM avtomobili / WHERE izpust IS NULL; / Popravek * namesto naziv_avta / 1 točka, popravek IS namesto = / 1 točka.",
p241-1-15,P241,15,1,html_css_open,html_css_vaja,html_css,srednje,True,"Skicirajte tabelo glede na spodnjo kodo HTML. / <table border=""1px""> / <tr><td>A</td><td rowspan=""2"">G</td><td>F</td></tr> / <tr><td>B</td><td>E</td></tr> / <tr><td>C</td><td colspan=""2"">D</td></tr> / </table> / Skica:",,
p241-1-16,P241,16,2,html_css_open,html_css_vaja,html_css,srednje,True,"V dokument HTML želimo dodati meta oznako za ključne besede spletne strani. Dopolnite / spodnjo kodo. / <meta _____=""keywords"" _____=""matura, racunalnistvo"">",name /  content,
p241-1-17,P241,17,1,multiple_choice_single,kviz,programiranje_algoritmi,osnovno,False,Kaj je rezultat izraza 16 % 3 oziroma 16 mod 3 v izbranem programskem/skriptnem jeziku? / Obkrožite črko pred pravilnim odgovorom.,A,A
p241-1-18,P241,18,2,calculation,racunska_naloga,programiranje_algoritmi,srednje,True,"Spodnjo kodo pretvorite v enakovredno zanko while v izbranem računalniškem jeziku. / Podprogram izpis(...) izpiše vrednost vhodne spremenljivke na standardni izhod. Rešitev / zapišite na spodnje črte. / C, C#, C++, Java / PHP / Python / for(int i=11;i>0;i-=3) / { / izpis(i); / } / for($i=11;$i>0;$i-=3) / { / izpis($i); / } / for i in range(11,0,-3): / izpis(i)",int i=11; / while(i > 0) / { / izpis(i); / i=i-3; / },
p242-1-01,P242,1,1,short_answer,kratki_odgovor,omrezja,osnovno,False,"Zapišite primer procesorskosistemskega vodila, ki običajno povezuje CPE in pomnilnik. Odgovor / zapišite na črto.",FSB,
p242-1-02,P242,2,1,short_answer,kratki_odgovor,splosno_racunalnistvo,osnovno,False,"Zapišite primer shranjevanja podatkov, pri katerem se podatki shranijo trajno, vendar zaradi / zaporednega zapisa do njih dostopamo razmeroma počasi. Odgovor zapišite na črto.",kaseta,
p242-1-03,P242,3,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"Kaj pomeni izraz kotna vidljivost, kadar se pogovarjamo o specifikaciji zaslona LCD? Obkrožite / črko pred pravilnim odgovorom.",C,C
p242-1-04,P242,4,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,"Polde je kupil ključek USB s kapaciteto 64 GB. Nanj je želel kopirati datoteko velikosti 6,32 GiB. / Ob tem je prejel obvestilo o napaki, da tega ni mogoče narediti. Kaj bi lahko bil najverjetnejši / razlog za to? Obkrožite črko pred pravilnim odgovorom.",D,D
p242-1-05,P242,5,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Kaj predstavlja pojem particioniranje trdega diska? Obkrožite črko pred pravilnim odgovorom.,B,B
p242-1-06,P242,6,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Imamo trdi disk kapacitete 1 TB. Koliko podatkov lahko zapišemo nanj? Obkrožite črko pred / pravilnim odgovorom.,A,A
p242-1-07,P242,7,1,multiple_choice_single,kviz,programiranje_algoritmi,osnovno,False,Kateri barvni model se običajno uporablja v postopku tiska na tiskalniku? Obkrožite črko pred / pravilnim odgovorom.,D,D
p242-1-08,P242,8,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,S pomočjo zvočne kartice izvajamo zajem zvoka. S katero enoto označujemo pogostost zajema / ali frekvenco vzorčenja? Obkrožite črko pred pravilnim odgovorom.,C,C
p242-1-09,P242,9,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,Podan je naslov omrežja 200.2.1.. Kateri izmed spodnjih naslovov IP je v obsegu naslovov / tega omrežja? Obkrožite črko pred pravilnim odgovorom.,B,B
p242-1-10,P242,10,1,multiple_choice_single,kviz,omrezja,osnovno,False,V katerem primeru bi v omrežju uporabili omrežno stikalo L2? Obkrožite črko pred pravilnim / odgovorom.,C,C
p242-1-11,P242,11,2,multiple_choice_multi,kviz,omrezja,srednje,False,Katera od spodaj naštetih protokolov sta protokola transportne plasti modela OSI? Obkrožite črki / pred pravilnima odgovoroma.,D /  F,"D,F"
p242-1-12,P242,12,1,short_answer,kratki_odgovor,podatkovne_baze_sql,osnovno,False,"Pravkar smo s stavkom CREATE kreirali podatkovno bazo Ljubljana2105, a ker smo / podatkovno bazo že imeli, bi pravkar kreirano želeli izbrisati. Kateri ukaz bi uporabili? Odgovor / zapišite na črto.",DROP DATABASE Ljubljana2105;,
p242-1-13,P242,13,1,multiple_choice_single,kviz,podatkovne_baze_sql,osnovno,False,Stavki jezika SQL so razdeljeni v več skupin. Kateri stavki SQL sodijo v skupino DDL? Obkrožite / črko pred pravilnim odgovorom.,D,D
p242-1-14,P242,14,2,multiple_choice_multi,kviz,podatkovne_baze_sql,srednje,False,Katera izmed spodnjih podatkovnih tipov sta numerična podatkovna tipa? Obkrožite črki pred / pravilnima odgovoroma.,B /  E,"B,E"
p242-1-15,P242,15,1,multiple_choice_single,kviz,html_css,osnovno,False,"Obkrožite črko pred odgovorom, ki označuje začetek neurejenega seznama v spletnem / dokumentu.",D,D
p242-1-16,P242,16,2,html_css_open,html_css_vaja,html_css,srednje,False,"V dokument HTML želimo vstaviti povezavo, ki se bo odprla v novem zavihku. Dopolnite spodnjo / kodo. / <a _____ ='https://mojaStran.si' _____ >povezava</a>","href /  target=""_blank""",
p242-1-17,P242,17,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,"Spremenljivki X, ki je celoštevilskega tipa, želimo prirediti sedemkratnik števila X. Katera izmed / možnosti je ustrezna? Obkrožite črko pred pravilnim odgovorom.",A,A
p242-1-18,P242,18,2,calculation,racunska_naloga,programiranje_algoritmi,srednje,False,Spodnji algoritem (diagram poteka) pretvorite v enakovredno kodo z zanko while v poljubnem / programskem/skriptnem jeziku. / ZAČETEK / A / 121 / = / A / A / 11 / = / - / NE / DA / A / KONEC / A ˃ 80,A = 121 / while(A > 80): / print(A) / A -= 11,
p243-1-01,P243,1,1,calculation,racunska_naloga,pretvorbe_enote_racunanje,srednje,False,"Računalnik ima frekvenco vodila QPI 3200 MHz s širino 32 bitov. Kakšna je prepustnost vodila, / če upoštevamo podano hitrost? Rešitev naj bo podana v GB/s za enosmerno komunikacijo. / Odgovor zapišite na črto.","25,6 GB/s",
p243-1-02,P243,2,1,calculation,racunska_naloga,strojna_oprema_os,srednje,False,Koliko naprav lahko teoretično priključimo na priključek USB tretje generacije? Odgovor zapišite / na črto.,Katerakoli vrednost od 1 do 127.,
p243-1-03,P243,3,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Kateri izmed datotečnih sistemov načeloma ne potrebuje postopka defragmentacije trdega diska? / Obkrožite črko pred pravilnim odgovorom.,C,C
p243-1-04,P243,4,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"Katero vodilo bi uporabili na prenosnem računalniku, da bi lahko priključili pogon SSD manjših / dimenzij? Obkrožite črko pred pravilnim odgovorom.",D,D
p243-1-05,P243,5,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"Kako se imenuje integrirano vezje, ki upravlja s prekinitvami naprav, da se CPE ustrezno / odzove? Obkrožite črko pred pravilnim odgovorom.",A,A
p243-1-06,P243,6,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"Katera izmed naštetih kratic ponazarja kompleksnost nabora ukazov, načina naslavljanja / operandov in sorodnih značilnosti procesorjev? Obkrožite črko pred pravilnim odgovorom.",B,B
p243-1-07,P243,7,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"Na računalniku želimo vzpostaviti diskovno polje (angl. RAID). Stranki glede na želje in potrebe / priporočimo diskovno polje tipa RAID 10 (znan tudi kot 1 + 0). Koliko diskov najmanj potrebujemo, / da bomo vzpostavili takšno diskovno polje? Obkrožite črko pred pravilnim odgovorom.",A,A
p243-1-08,P243,8,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,"Na novo kupljen računalnik ima procesor s hitrostjo 4200 MHz. Koliko časa potrebuje procesor / (CPE), da izvede en strojni cikel? Obkrožite črko pred pravilnim odgovorom.",B,B
p243-1-09,P243,9,1,multiple_choice_single,kviz,omrezja,osnovno,False,Kateri izmed naštetih naslovov je zasebni naslov IP? Obkrožite črko pred pravilnim odgovorom.,C,C
